starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 09:46:04 2015	1439199964	19	60	78	60
Mon Aug 10 09:46:03 2015	1439199963	6	108	115	108
Mon Aug 10 09:46:03 2015	1439199963	7	121	128	120
Mon Aug 10 09:46:03 2015	1439199963	19	118	136	118
Mon Aug 10 09:46:03 2015	1439199963	23	120	143	120
Mon Aug 10 09:46:04 2015	1439199964	87	57	144	56
Mon Aug 10 09:46:03 2015	1439199963	20	129	149	129
Mon Aug 10 09:46:04 2015	1439199964	31	129	161	129
Mon Aug 10 09:46:04 2015	1439199964	33	133	166	133
Mon Aug 10 09:46:04 2015	1439199964	103	67	170	67
Mon Aug 10 09:46:04 2015	1439199964	16	160	176	160
Mon Aug 10 09:46:03 2015	1439199963	12	165	178	165
Mon Aug 10 09:46:04 2015	1439199964	28	152	180	152
Mon Aug 10 09:46:04 2015	1439199964	35	148	183	147
Mon Aug 10 09:46:04 2015	1439199964	98	86	185	86
Mon Aug 10 09:46:04 2015	1439199964	84	101	185	100
Mon Aug 10 09:46:03 2015	1439199963	22	163	186	163
Mon Aug 10 09:46:04 2015	1439199964	94	94	188	93
Mon Aug 10 09:46:03 2015	1439199963	15	176	191	176
Mon Aug 10 09:46:04 2015	1439199964	98	94	191	93
Mon Aug 10 09:46:03 2015	1439199963	7	184	192	184
Mon Aug 10 09:46:04 2015	1439199964	44	149	193	148
Mon Aug 10 09:46:04 2015	1439199964	32	161	193	161
Mon Aug 10 09:46:04 2015	1439199964	40	156	196	156
Mon Aug 10 09:46:04 2015	1439199964	98	101	199	100
Mon Aug 10 09:46:04 2015	1439199964	100	104	204	103
Mon Aug 10 09:46:04 2015	1439199964	51	154	205	150
Mon Aug 10 09:46:04 2015	1439199964	30	176	206	176
Mon Aug 10 09:46:04 2015	1439199964	24	185	209	179
Mon Aug 10 09:46:04 2015	1439199964	18	191	209	191
Mon Aug 10 09:46:04 2015	1439199964	83	137	220	136
Mon Aug 10 09:46:04 2015	1439199964	23	197	220	197
Mon Aug 10 09:46:03 2015	1439199963	166	56	221	56
Mon Aug 10 09:46:03 2015	1439199963	124	98	222	98
Mon Aug 10 09:46:03 2015	1439199963	124	105	228	104
Mon Aug 10 09:46:04 2015	1439199964	108	122	231	122
Mon Aug 10 09:46:03 2015	1439199963	174	67	241	67
Mon Aug 10 09:46:04 2015	1439199964	195	47	242	47
Mon Aug 10 09:46:05 2015	1439199965	207	36	244	36
Mon Aug 10 09:46:04 2015	1439199964	46	199	245	197
Mon Aug 10 09:46:04 2015	1439199964	205	41	245	40
Mon Aug 10 09:46:04 2015	1439199964	89	157	246	157
Mon Aug 10 09:46:05 2015	1439199965	205	41	246	41
Mon Aug 10 09:46:05 2015	1439199965	200	47	247	47
Mon Aug 10 09:46:04 2015	1439199964	199	48	247	48
Mon Aug 10 09:46:04 2015	1439199964	87	162	248	162
Mon Aug 10 09:46:04 2015	1439199964	195	56	250	56
Mon Aug 10 09:46:05 2015	1439199965	220	35	255	35
Mon Aug 10 09:46:05 2015	1439199965	227	28	255	28
Mon Aug 10 09:46:04 2015	1439199964	202	53	255	53
Mon Aug 10 09:46:04 2015	1439199964	50	205	256	204
Mon Aug 10 09:46:04 2015	1439199964	78	179	257	179
Mon Aug 10 09:46:04 2015	1439199964	41	218	259	217
Mon Aug 10 09:46:04 2015	1439199964	101	158	259	158
Mon Aug 10 09:46:05 2015	1439199965	200	60	260	60
Mon Aug 10 09:46:05 2015	1439199965	197	63	260	63
Mon Aug 10 09:46:03 2015	1439199963	127	134	261	134
Mon Aug 10 09:46:04 2015	1439199964	97	164	261	164
Mon Aug 10 09:46:04 2015	1439199964	64	197	261	197
Mon Aug 10 09:46:05 2015	1439199965	201	60	261	59
Mon Aug 10 09:46:05 2015	1439199965	191	71	262	69
Mon Aug 10 09:46:04 2015	1439199964	172	90	262	83
Mon Aug 10 09:46:04 2015	1439199964	87	176	263	175
Mon Aug 10 09:46:04 2015	1439199964	160	103	263	103
Mon Aug 10 09:46:04 2015	1439199964	158	105	263	104
Mon Aug 10 09:46:11 2015	1439199971	198	67	265	66
Mon Aug 10 09:46:05 2015	1439199965	189	76	265	76
Mon Aug 10 09:46:04 2015	1439199964	75	191	266	191
Mon Aug 10 09:46:04 2015	1439199964	67	204	270	203
Mon Aug 10 09:46:11 2015	1439199971	195	75	271	75
Mon Aug 10 09:46:03 2015	1439199963	125	146	271	146
Mon Aug 10 09:46:05 2015	1439199965	221	53	274	53
Mon Aug 10 09:46:04 2015	1439199964	109	166	275	165
Mon Aug 10 09:46:04 2015	1439199964	89	187	276	187
Mon Aug 10 09:46:11 2015	1439199971	231	48	279	47
Mon Aug 10 09:46:05 2015	1439199965	201	78	279	78
Mon Aug 10 09:46:04 2015	1439199964	225	54	279	53
Mon Aug 10 09:46:04 2015	1439199964	175	104	279	104
Mon Aug 10 09:46:05 2015	1439199965	197	82	279	82
Mon Aug 10 09:46:05 2015	1439199965	221	59	280	59
Mon Aug 10 09:46:04 2015	1439199964	163	119	282	119
Mon Aug 10 09:46:11 2015	1439199971	162	120	282	120
Mon Aug 10 09:46:04 2015	1439199964	116	166	282	166
Mon Aug 10 09:46:04 2015	1439199964	216	66	283	66
Mon Aug 10 09:46:03 2015	1439199963	153	131	283	131
Mon Aug 10 09:46:03 2015	1439199963	147	137	284	137
Mon Aug 10 09:46:05 2015	1439199965	209	75	284	74
Mon Aug 10 09:46:04 2015	1439199964	177	107	285	106
Mon Aug 10 09:46:05 2015	1439199965	225	60	285	60
Mon Aug 10 09:46:04 2015	1439199964	214	71	285	71
Mon Aug 10 09:46:04 2015	1439199964	125	161	286	161
Mon Aug 10 09:46:03 2015	1439199963	128	158	286	158
Mon Aug 10 09:46:04 2015	1439199964	168	119	287	119
Mon Aug 10 09:46:05 2015	1439199965	215	72	288	72
Mon Aug 10 09:46:05 2015	1439199965	213	75	288	75
Mon Aug 10 09:46:11 2015	1439199971	173	115	288	115
Mon Aug 10 09:46:11 2015	1439199971	173	116	289	115
Mon Aug 10 09:46:11 2015	1439199971	171	117	289	117
Mon Aug 10 09:46:04 2015	1439199964	187	102	289	102
Mon Aug 10 09:46:04 2015	1439199964	209	80	290	80
Mon Aug 10 09:46:11 2015	1439199971	237	53	291	53
Mon Aug 10 09:46:04 2015	1439199964	212	81	293	81
Mon Aug 10 09:46:05 2015	1439199965	164	130	293	130
Mon Aug 10 09:46:04 2015	1439199964	89	205	294	205
