starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 11:35:03 2015	1439206503	141	178	320	178
Mon Aug 10 11:35:46 2015	1439206546	285	247	532	247
Mon Aug 10 11:33:14 2015	1439206394	260	309	569	309
Mon Aug 10 11:33:14 2015	1439206394	257	312	569	312
Mon Aug 10 11:33:14 2015	1439206394	254	316	570	316
Mon Aug 10 11:35:43 2015	1439206543	179	392	571	392
Mon Aug 10 11:33:14 2015	1439206394	263	308	571	308
Mon Aug 10 11:35:03 2015	1439206503	296	285	582	285
Mon Aug 10 11:35:57 2015	1439206557	245	368	613	367
Mon Aug 10 11:35:14 2015	1439206514	434	181	614	180
Mon Aug 10 11:35:14 2015	1439206514	427	188	614	188
Mon Aug 10 11:35:57 2015	1439206557	244	371	615	371
Mon Aug 10 11:35:14 2015	1439206514	423	192	615	192
Mon Aug 10 11:35:57 2015	1439206557	246	370	616	370
Mon Aug 10 11:35:14 2015	1439206514	380	236	616	236
Mon Aug 10 11:35:14 2015	1439206514	428	187	616	187
Mon Aug 10 11:33:16 2015	1439206396	250	366	616	366
Mon Aug 10 11:35:46 2015	1439206546	317	299	616	299
Mon Aug 10 11:35:57 2015	1439206557	236	380	616	380
Mon Aug 10 11:35:46 2015	1439206546	319	297	616	297
Mon Aug 10 11:35:14 2015	1439206514	425	192	616	191
Mon Aug 10 11:35:57 2015	1439206557	238	379	616	378
Mon Aug 10 11:35:14 2015	1439206514	330	286	617	286
Mon Aug 10 11:35:14 2015	1439206514	351	266	617	266
Mon Aug 10 11:33:25 2015	1439206405	294	328	622	328
Mon Aug 10 11:33:25 2015	1439206405	295	327	622	327
Mon Aug 10 11:33:25 2015	1439206405	292	331	622	331
Mon Aug 10 11:33:25 2015	1439206405	288	334	623	334
Mon Aug 10 11:34:38 2015	1439206478	269	355	624	355
Mon Aug 10 11:35:56 2015	1439206556	367	258	625	258
Mon Aug 10 11:33:27 2015	1439206407	297	329	626	329
Mon Aug 10 11:35:58 2015	1439206558	305	321	626	321
Mon Aug 10 11:33:27 2015	1439206407	295	331	626	331
Mon Aug 10 11:35:58 2015	1439206558	303	324	626	324
Mon Aug 10 11:35:58 2015	1439206558	299	327	627	327
Mon Aug 10 11:35:58 2015	1439206558	303	324	627	323
Mon Aug 10 11:35:58 2015	1439206558	296	331	627	331
Mon Aug 10 11:35:58 2015	1439206558	293	335	628	335
Mon Aug 10 11:35:58 2015	1439206558	290	337	628	337
Mon Aug 10 11:35:58 2015	1439206558	289	339	628	339
Mon Aug 10 11:35:14 2015	1439206514	336	295	631	294
Mon Aug 10 11:33:59 2015	1439206439	297	337	634	337
Mon Aug 10 11:33:59 2015	1439206439	301	336	638	336
Mon Aug 10 11:35:58 2015	1439206558	382	261	642	261
Mon Aug 10 11:35:04 2015	1439206504	261	394	655	394
Mon Aug 10 11:35:04 2015	1439206504	276	379	655	379
Mon Aug 10 11:33:16 2015	1439206396	277	384	661	384
Mon Aug 10 11:33:16 2015	1439206396	300	362	662	362
Mon Aug 10 11:33:16 2015	1439206396	296	367	663	367
Mon Aug 10 11:33:16 2015	1439206396	298	365	663	365
Mon Aug 10 11:33:16 2015	1439206396	293	370	663	370
Mon Aug 10 11:33:16 2015	1439206396	292	372	664	372
Mon Aug 10 11:33:17 2015	1439206397	254	410	664	410
Mon Aug 10 11:33:17 2015	1439206397	252	412	664	412
Mon Aug 10 11:33:17 2015	1439206397	229	436	665	436
Mon Aug 10 11:33:17 2015	1439206397	202	464	666	464
Mon Aug 10 11:33:25 2015	1439206405	378	313	691	313
Mon Aug 10 11:33:25 2015	1439206405	375	316	691	316
Mon Aug 10 11:33:25 2015	1439206405	377	315	692	315
Mon Aug 10 11:33:25 2015	1439206405	381	311	692	311
Mon Aug 10 11:33:25 2015	1439206405	374	318	692	318
Mon Aug 10 11:33:25 2015	1439206405	366	327	693	326
Mon Aug 10 11:35:58 2015	1439206558	205	490	695	490
Mon Aug 10 11:33:26 2015	1439206406	299	412	711	412
Mon Aug 10 11:33:16 2015	1439206396	188	528	716	528
Mon Aug 10 11:35:43 2015	1439206543	318	399	718	399
Mon Aug 10 11:35:47 2015	1439206547	299	419	719	419
Mon Aug 10 11:35:46 2015	1439206546	306	413	719	413
Mon Aug 10 11:33:15 2015	1439206395	335	387	723	387
Mon Aug 10 11:35:47 2015	1439206547	255	468	723	468
Mon Aug 10 11:33:15 2015	1439206395	314	410	723	409
Mon Aug 10 11:33:15 2015	1439206395	317	406	723	406
Mon Aug 10 11:35:47 2015	1439206547	236	489	725	489
Mon Aug 10 11:35:47 2015	1439206547	238	487	725	487
Mon Aug 10 11:35:47 2015	1439206547	240	485	725	485
Mon Aug 10 11:35:47 2015	1439206547	242	484	725	483
Mon Aug 10 11:35:47 2015	1439206547	346	379	725	379
Mon Aug 10 11:35:38 2015	1439206538	217	508	725	508
Mon Aug 10 11:35:38 2015	1439206538	219	506	725	506
Mon Aug 10 11:35:47 2015	1439206547	344	383	727	383
Mon Aug 10 11:35:47 2015	1439206547	354	374	728	374
Mon Aug 10 11:35:04 2015	1439206504	299	431	730	431
Mon Aug 10 11:35:44 2015	1439206544	411	320	730	320
Mon Aug 10 11:34:38 2015	1439206478	282	451	732	451
Mon Aug 10 11:35:44 2015	1439206544	439	297	736	297
Mon Aug 10 11:35:44 2015	1439206544	435	301	736	301
Mon Aug 10 11:35:44 2015	1439206544	437	299	736	299
Mon Aug 10 11:35:44 2015	1439206544	428	309	736	309
Mon Aug 10 11:35:44 2015	1439206544	422	315	737	315
Mon Aug 10 11:35:44 2015	1439206544	423	314	737	314
Mon Aug 10 11:35:44 2015	1439206544	425	312	737	312
Mon Aug 10 11:35:44 2015	1439206544	430	308	738	308
Mon Aug 10 11:34:38 2015	1439206478	286	452	738	452
Mon Aug 10 11:33:26 2015	1439206406	315	424	738	424
Mon Aug 10 11:35:44 2015	1439206544	420	319	738	318
Mon Aug 10 11:34:38 2015	1439206478	290	449	738	449
Mon Aug 10 11:33:26 2015	1439206406	313	426	739	426
Mon Aug 10 11:34:38 2015	1439206478	288	451	739	451
Mon Aug 10 11:33:26 2015	1439206406	308	431	739	431
Mon Aug 10 11:33:26 2015	1439206406	312	428	740	428
Mon Aug 10 11:33:26 2015	1439206406	302	440	741	440
Mon Aug 10 11:33:11 2015	1439206391	112	630	742	630
Mon Aug 10 11:33:11 2015	1439206391	110	633	742	633
Mon Aug 10 11:33:11 2015	1439206391	108	635	743	635
Mon Aug 10 11:35:44 2015	1439206544	442	304	746	304
Mon Aug 10 11:35:03 2015	1439206503	307	441	747	441
Mon Aug 10 11:35:45 2015	1439206545	307	446	752	446
