starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 10:12:17 2015	1439201537	0	26	26	25
Mon Aug 10 10:12:18 2015	1439201538	0	34	34	34
Mon Aug 10 10:12:16 2015	1439201536	0	35	35	35
Mon Aug 10 10:12:16 2015	1439201536	0	35	35	35
Mon Aug 10 10:12:17 2015	1439201537	0	37	37	37
Mon Aug 10 10:12:16 2015	1439201536	0	37	37	37
Mon Aug 10 10:12:16 2015	1439201536	0	38	38	38
Mon Aug 10 10:12:17 2015	1439201537	0	39	39	39
Mon Aug 10 10:12:16 2015	1439201536	0	39	39	39
Mon Aug 10 10:12:18 2015	1439201538	0	40	40	40
Mon Aug 10 10:12:16 2015	1439201536	0	42	42	42
Mon Aug 10 10:12:16 2015	1439201536	0	45	45	45
Mon Aug 10 10:12:16 2015	1439201536	0	46	46	46
Mon Aug 10 10:12:16 2015	1439201536	0	47	47	47
Mon Aug 10 10:12:21 2015	1439201541	0	48	48	48
Mon Aug 10 10:12:17 2015	1439201537	0	49	49	49
Mon Aug 10 10:12:15 2015	1439201535	0	50	50	50
Mon Aug 10 10:12:16 2015	1439201536	0	50	50	50
Mon Aug 10 10:12:15 2015	1439201535	0	51	51	51
Mon Aug 10 10:12:18 2015	1439201538	0	51	51	51
Mon Aug 10 10:12:17 2015	1439201537	0	51	51	51
Mon Aug 10 10:12:16 2015	1439201536	0	52	52	51
Mon Aug 10 10:12:15 2015	1439201535	0	52	52	52
Mon Aug 10 10:12:15 2015	1439201535	0	52	52	52
Mon Aug 10 10:12:16 2015	1439201536	0	53	53	53
Mon Aug 10 10:12:15 2015	1439201535	0	54	54	54
Mon Aug 10 10:12:21 2015	1439201541	0	57	57	57
Mon Aug 10 10:12:21 2015	1439201541	0	58	58	58
Mon Aug 10 10:12:16 2015	1439201536	0	58	58	58
Mon Aug 10 10:12:16 2015	1439201536	0	58	58	58
Mon Aug 10 10:12:18 2015	1439201538	0	58	58	58
Mon Aug 10 10:12:18 2015	1439201538	0	60	60	60
Mon Aug 10 10:12:17 2015	1439201537	0	61	61	61
Mon Aug 10 10:12:16 2015	1439201536	0	63	63	63
Mon Aug 10 10:12:17 2015	1439201537	0	63	63	63
Mon Aug 10 10:12:18 2015	1439201538	0	63	63	63
Mon Aug 10 10:12:21 2015	1439201541	0	65	65	65
Mon Aug 10 10:12:19 2015	1439201539	0	66	66	66
Mon Aug 10 10:12:17 2015	1439201537	0	66	66	66
Mon Aug 10 10:12:16 2015	1439201536	0	67	67	67
Mon Aug 10 10:12:17 2015	1439201537	0	67	67	67
Mon Aug 10 10:12:15 2015	1439201535	0	67	67	67
Mon Aug 10 10:12:17 2015	1439201537	0	68	68	68
Mon Aug 10 10:12:17 2015	1439201537	0	68	68	68
Mon Aug 10 10:12:17 2015	1439201537	0	70	70	70
Mon Aug 10 10:12:19 2015	1439201539	0	71	71	71
Mon Aug 10 10:12:21 2015	1439201541	0	71	71	71
Mon Aug 10 10:12:15 2015	1439201535	0	73	73	73
Mon Aug 10 10:12:19 2015	1439201539	0	73	73	73
Mon Aug 10 10:12:16 2015	1439201536	0	73	73	73
Mon Aug 10 10:12:19 2015	1439201539	0	73	73	73
Mon Aug 10 10:12:15 2015	1439201535	0	74	74	74
Mon Aug 10 10:12:16 2015	1439201536	0	74	74	74
Mon Aug 10 10:12:15 2015	1439201535	0	74	74	74
Mon Aug 10 10:12:15 2015	1439201535	0	74	74	74
Mon Aug 10 10:12:17 2015	1439201537	0	75	75	75
Mon Aug 10 10:12:17 2015	1439201537	0	75	75	75
Mon Aug 10 10:12:18 2015	1439201538	0	76	76	76
Mon Aug 10 10:12:18 2015	1439201538	0	77	77	77
Mon Aug 10 10:12:15 2015	1439201535	0	77	77	77
Mon Aug 10 10:12:16 2015	1439201536	0	78	78	78
Mon Aug 10 10:12:15 2015	1439201535	0	79	79	79
Mon Aug 10 10:12:15 2015	1439201535	0	79	79	79
Mon Aug 10 10:12:18 2015	1439201538	0	79	79	79
Mon Aug 10 10:12:17 2015	1439201537	0	79	79	79
Mon Aug 10 10:12:17 2015	1439201537	0	79	79	79
Mon Aug 10 10:12:16 2015	1439201536	0	79	79	79
Mon Aug 10 10:12:15 2015	1439201535	0	80	80	80
Mon Aug 10 10:12:15 2015	1439201535	0	80	80	80
Mon Aug 10 10:12:19 2015	1439201539	0	80	80	80
Mon Aug 10 10:12:19 2015	1439201539	0	80	80	80
Mon Aug 10 10:12:16 2015	1439201536	0	81	81	81
Mon Aug 10 10:12:16 2015	1439201536	0	82	82	82
Mon Aug 10 10:12:16 2015	1439201536	0	82	82	82
Mon Aug 10 10:12:19 2015	1439201539	0	83	83	83
Mon Aug 10 10:12:16 2015	1439201536	0	83	83	83
Mon Aug 10 10:12:21 2015	1439201541	0	83	83	83
Mon Aug 10 10:12:15 2015	1439201535	0	83	83	83
Mon Aug 10 10:12:15 2015	1439201535	0	83	83	83
Mon Aug 10 10:12:16 2015	1439201536	0	83	83	83
Mon Aug 10 10:12:21 2015	1439201541	0	83	83	83
Mon Aug 10 10:12:16 2015	1439201536	0	84	84	84
Mon Aug 10 10:12:15 2015	1439201535	0	84	84	84
Mon Aug 10 10:12:17 2015	1439201537	0	85	85	85
Mon Aug 10 10:12:21 2015	1439201541	0	85	85	85
Mon Aug 10 10:12:21 2015	1439201541	0	85	85	85
Mon Aug 10 10:12:15 2015	1439201535	0	86	86	86
Mon Aug 10 10:12:16 2015	1439201536	0	86	86	86
Mon Aug 10 10:12:19 2015	1439201539	0	86	86	86
Mon Aug 10 10:12:19 2015	1439201539	0	86	86	86
Mon Aug 10 10:12:19 2015	1439201539	0	86	86	86
Mon Aug 10 10:12:16 2015	1439201536	0	87	87	87
Mon Aug 10 10:12:21 2015	1439201541	0	87	87	87
Mon Aug 10 10:12:18 2015	1439201538	0	87	87	87
Mon Aug 10 10:12:17 2015	1439201537	0	87	87	87
Mon Aug 10 10:12:17 2015	1439201537	0	87	87	87
Mon Aug 10 10:12:16 2015	1439201536	0	88	88	88
Mon Aug 10 10:12:15 2015	1439201535	0	88	88	88
Mon Aug 10 10:12:16 2015	1439201536	0	90	90	90
Mon Aug 10 10:12:20 2015	1439201540	0	90	90	90
Mon Aug 10 10:12:19 2015	1439201539	0	90	90	90
Mon Aug 10 10:12:21 2015	1439201541	0	90	90	90
Mon Aug 10 10:12:19 2015	1439201539	0	90	90	90
Mon Aug 10 10:12:21 2015	1439201541	0	90	90	90
Mon Aug 10 10:12:15 2015	1439201535	0	91	91	91
Mon Aug 10 10:12:17 2015	1439201537	0	91	91	91
Mon Aug 10 10:12:15 2015	1439201535	0	91	91	91
Mon Aug 10 10:12:15 2015	1439201535	0	91	91	91
Mon Aug 10 10:12:16 2015	1439201536	0	92	92	92
Mon Aug 10 10:12:19 2015	1439201539	0	92	92	92
Mon Aug 10 10:12:18 2015	1439201538	0	92	92	92
Mon Aug 10 10:12:19 2015	1439201539	0	92	92	92
Mon Aug 10 10:12:16 2015	1439201536	0	93	93	93
Mon Aug 10 10:12:16 2015	1439201536	0	93	93	93
Mon Aug 10 10:12:16 2015	1439201536	0	93	93	93
Mon Aug 10 10:12:16 2015	1439201536	0	93	93	93
Mon Aug 10 10:12:16 2015	1439201536	0	93	93	93
Mon Aug 10 10:12:15 2015	1439201535	0	94	94	94
Mon Aug 10 10:12:15 2015	1439201535	0	94	94	94
Mon Aug 10 10:12:17 2015	1439201537	0	95	95	95
Mon Aug 10 10:12:18 2015	1439201538	0	95	95	95
Mon Aug 10 10:12:16 2015	1439201536	0	95	95	95
Mon Aug 10 10:12:20 2015	1439201540	0	95	95	95
Mon Aug 10 10:12:16 2015	1439201536	0	96	96	96
Mon Aug 10 10:12:20 2015	1439201540	0	97	97	97
Mon Aug 10 10:12:16 2015	1439201536	0	97	97	97
Mon Aug 10 10:12:18 2015	1439201538	0	97	97	97
Mon Aug 10 10:12:17 2015	1439201537	0	98	98	98
Mon Aug 10 10:12:21 2015	1439201541	0	98	98	98
Mon Aug 10 10:12:18 2015	1439201538	0	98	98	98
Mon Aug 10 10:12:16 2015	1439201536	0	98	98	98
Mon Aug 10 10:12:19 2015	1439201539	0	99	99	99
Mon Aug 10 10:12:21 2015	1439201541	0	99	99	99
Mon Aug 10 10:12:15 2015	1439201535	0	99	99	99
Mon Aug 10 10:12:16 2015	1439201536	0	99	99	99
Mon Aug 10 10:12:16 2015	1439201536	0	99	99	99
Mon Aug 10 10:12:17 2015	1439201537	0	99	99	99
Mon Aug 10 10:12:19 2015	1439201539	0	100	100	100
Mon Aug 10 10:12:16 2015	1439201536	0	100	100	100
Mon Aug 10 10:12:16 2015	1439201536	0	100	100	100
Mon Aug 10 10:12:19 2015	1439201539	0	100	100	100
Mon Aug 10 10:12:19 2015	1439201539	0	100	100	100
Mon Aug 10 10:12:21 2015	1439201541	0	100	100	100
Mon Aug 10 10:12:20 2015	1439201540	0	100	100	100
Mon Aug 10 10:12:16 2015	1439201536	0	100	100	100
Mon Aug 10 10:12:16 2015	1439201536	0	101	101	101
Mon Aug 10 10:12:21 2015	1439201541	0	101	101	101
Mon Aug 10 10:12:20 2015	1439201540	0	101	101	101
Mon Aug 10 10:12:21 2015	1439201541	0	101	101	101
Mon Aug 10 10:12:15 2015	1439201535	0	101	101	101
Mon Aug 10 10:12:18 2015	1439201538	0	101	101	101
Mon Aug 10 10:12:15 2015	1439201535	0	102	102	102
Mon Aug 10 10:12:15 2015	1439201535	0	102	102	102
Mon Aug 10 10:12:19 2015	1439201539	0	102	102	102
Mon Aug 10 10:12:19 2015	1439201539	0	102	102	102
Mon Aug 10 10:12:18 2015	1439201538	0	102	102	102
Mon Aug 10 10:12:21 2015	1439201541	0	102	102	102
Mon Aug 10 10:12:21 2015	1439201541	0	102	102	102
Mon Aug 10 10:12:17 2015	1439201537	0	103	103	103
Mon Aug 10 10:12:17 2015	1439201537	0	103	103	103
Mon Aug 10 10:12:18 2015	1439201538	0	103	103	103
Mon Aug 10 10:12:15 2015	1439201535	0	103	103	103
Mon Aug 10 10:12:16 2015	1439201536	0	103	103	103
Mon Aug 10 10:12:20 2015	1439201540	0	103	103	103
Mon Aug 10 10:12:17 2015	1439201537	0	103	103	103
Mon Aug 10 10:12:19 2015	1439201539	0	104	104	104
Mon Aug 10 10:12:18 2015	1439201538	0	104	104	104
Mon Aug 10 10:12:17 2015	1439201537	0	104	104	104
Mon Aug 10 10:12:20 2015	1439201540	0	104	104	104
Mon Aug 10 10:12:20 2015	1439201540	0	104	104	104
Mon Aug 10 10:12:18 2015	1439201538	0	104	104	104
Mon Aug 10 10:12:20 2015	1439201540	0	105	105	105
Mon Aug 10 10:12:21 2015	1439201541	0	105	105	105
Mon Aug 10 10:12:16 2015	1439201536	0	105	105	105
Mon Aug 10 10:12:21 2015	1439201541	0	105	105	105
Mon Aug 10 10:12:15 2015	1439201535	0	105	105	105
Mon Aug 10 10:12:21 2015	1439201541	0	105	105	105
Mon Aug 10 10:12:15 2015	1439201535	0	105	105	105
Mon Aug 10 10:12:16 2015	1439201536	0	105	105	105
Mon Aug 10 10:12:17 2015	1439201537	0	105	105	105
Mon Aug 10 10:12:17 2015	1439201537	0	105	105	105
Mon Aug 10 10:12:20 2015	1439201540	0	105	105	105
Mon Aug 10 10:12:21 2015	1439201541	0	105	105	105
Mon Aug 10 10:12:21 2015	1439201541	0	106	106	106
Mon Aug 10 10:12:17 2015	1439201537	0	106	106	106
Mon Aug 10 10:12:21 2015	1439201541	0	106	106	106
Mon Aug 10 10:12:15 2015	1439201535	0	106	106	106
Mon Aug 10 10:12:17 2015	1439201537	0	106	106	106
Mon Aug 10 10:12:19 2015	1439201539	0	107	107	107
Mon Aug 10 10:12:21 2015	1439201541	0	107	107	107
Mon Aug 10 10:12:20 2015	1439201540	0	107	107	107
Mon Aug 10 10:12:18 2015	1439201538	0	108	108	108
Mon Aug 10 10:12:15 2015	1439201535	0	108	108	108
Mon Aug 10 10:12:17 2015	1439201537	0	108	108	108
Mon Aug 10 10:12:16 2015	1439201536	0	108	108	108
Mon Aug 10 10:12:20 2015	1439201540	0	108	108	108
Mon Aug 10 10:12:20 2015	1439201540	0	108	108	108
Mon Aug 10 10:12:16 2015	1439201536	0	109	109	109
Mon Aug 10 10:12:16 2015	1439201536	0	109	109	109
Mon Aug 10 10:12:19 2015	1439201539	0	109	109	109
Mon Aug 10 10:12:16 2015	1439201536	0	109	109	109
Mon Aug 10 10:12:15 2015	1439201535	0	109	109	109
Mon Aug 10 10:12:21 2015	1439201541	0	110	110	110
Mon Aug 10 10:12:17 2015	1439201537	0	110	110	110
Mon Aug 10 10:12:15 2015	1439201535	0	110	110	110
Mon Aug 10 10:12:18 2015	1439201538	0	110	110	110
Mon Aug 10 10:12:21 2015	1439201541	0	110	110	110
Mon Aug 10 10:12:15 2015	1439201535	0	110	110	110
Mon Aug 10 10:12:16 2015	1439201536	0	110	110	110
Mon Aug 10 10:12:18 2015	1439201538	0	110	110	110
Mon Aug 10 10:12:16 2015	1439201536	0	110	110	110
Mon Aug 10 10:12:20 2015	1439201540	0	110	110	110
Mon Aug 10 10:12:16 2015	1439201536	0	110	110	110
Mon Aug 10 10:12:19 2015	1439201539	0	110	110	110
Mon Aug 10 10:12:18 2015	1439201538	0	111	111	111
Mon Aug 10 10:12:16 2015	1439201536	0	111	111	111
Mon Aug 10 10:12:16 2015	1439201536	0	111	111	111
Mon Aug 10 10:12:15 2015	1439201535	0	111	111	111
Mon Aug 10 10:12:21 2015	1439201541	0	111	111	111
Mon Aug 10 10:12:15 2015	1439201535	0	111	111	111
Mon Aug 10 10:12:17 2015	1439201537	0	111	111	111
Mon Aug 10 10:12:17 2015	1439201537	0	111	111	111
Mon Aug 10 10:12:21 2015	1439201541	0	112	112	112
Mon Aug 10 10:12:18 2015	1439201538	0	112	112	112
Mon Aug 10 10:12:17 2015	1439201537	0	112	112	112
Mon Aug 10 10:12:18 2015	1439201538	0	112	112	112
Mon Aug 10 10:12:15 2015	1439201535	0	112	112	112
Mon Aug 10 10:12:15 2015	1439201535	0	112	112	112
Mon Aug 10 10:12:20 2015	1439201540	0	112	112	112
Mon Aug 10 10:12:15 2015	1439201535	0	112	112	112
Mon Aug 10 10:12:15 2015	1439201535	0	113	113	113
Mon Aug 10 10:12:20 2015	1439201540	0	113	113	113
Mon Aug 10 10:12:16 2015	1439201536	0	113	113	113
Mon Aug 10 10:12:21 2015	1439201541	0	113	113	113
Mon Aug 10 10:12:15 2015	1439201535	0	114	114	114
Mon Aug 10 10:12:15 2015	1439201535	0	114	114	114
Mon Aug 10 10:12:20 2015	1439201540	0	114	114	114
Mon Aug 10 10:12:16 2015	1439201536	0	115	115	115
Mon Aug 10 10:12:18 2015	1439201538	0	115	115	115
Mon Aug 10 10:12:16 2015	1439201536	0	115	115	115
Mon Aug 10 10:12:15 2015	1439201535	0	116	116	116
Mon Aug 10 10:12:16 2015	1439201536	0	116	116	116
Mon Aug 10 10:12:19 2015	1439201539	0	116	116	116
Mon Aug 10 10:12:19 2015	1439201539	0	116	116	116
Mon Aug 10 10:12:19 2015	1439201539	0	116	116	116
Mon Aug 10 10:12:21 2015	1439201541	0	116	116	116
Mon Aug 10 10:12:17 2015	1439201537	0	117	117	117
Mon Aug 10 10:12:15 2015	1439201535	0	117	117	117
Mon Aug 10 10:12:15 2015	1439201535	0	117	117	117
Mon Aug 10 10:12:15 2015	1439201535	0	117	117	117
Mon Aug 10 10:12:15 2015	1439201535	0	117	117	117
Mon Aug 10 10:12:16 2015	1439201536	0	117	117	117
Mon Aug 10 10:12:17 2015	1439201537	0	118	118	118
Mon Aug 10 10:12:19 2015	1439201539	0	118	118	118
Mon Aug 10 10:12:15 2015	1439201535	0	118	118	118
Mon Aug 10 10:12:20 2015	1439201540	0	118	118	118
Mon Aug 10 10:12:20 2015	1439201540	0	118	118	118
Mon Aug 10 10:12:17 2015	1439201537	0	118	118	118
Mon Aug 10 10:12:21 2015	1439201541	0	118	118	118
Mon Aug 10 10:12:15 2015	1439201535	0	118	118	118
Mon Aug 10 10:12:15 2015	1439201535	0	119	119	119
Mon Aug 10 10:12:18 2015	1439201538	0	119	119	119
Mon Aug 10 10:12:15 2015	1439201535	0	119	119	119
Mon Aug 10 10:12:15 2015	1439201535	0	119	119	119
Mon Aug 10 10:12:15 2015	1439201535	0	119	119	119
Mon Aug 10 10:12:21 2015	1439201541	0	119	119	119
Mon Aug 10 10:12:16 2015	1439201536	0	119	119	119
Mon Aug 10 10:12:15 2015	1439201535	0	119	119	119
Mon Aug 10 10:12:21 2015	1439201541	0	120	120	120
Mon Aug 10 10:12:21 2015	1439201541	0	120	120	120
Mon Aug 10 10:12:15 2015	1439201535	0	120	120	120
Mon Aug 10 10:12:17 2015	1439201537	0	120	120	120
Mon Aug 10 10:12:17 2015	1439201537	0	120	120	120
Mon Aug 10 10:12:15 2015	1439201535	0	120	120	120
Mon Aug 10 10:12:19 2015	1439201539	0	120	120	120
Mon Aug 10 10:12:16 2015	1439201536	0	120	120	120
Mon Aug 10 10:12:21 2015	1439201541	0	121	121	121
Mon Aug 10 10:12:15 2015	1439201535	0	121	121	121
Mon Aug 10 10:12:15 2015	1439201535	0	122	122	121
Mon Aug 10 10:12:21 2015	1439201541	0	122	122	122
Mon Aug 10 10:12:18 2015	1439201538	0	122	122	122
Mon Aug 10 10:12:18 2015	1439201538	0	122	122	122
Mon Aug 10 10:12:18 2015	1439201538	0	122	122	122
Mon Aug 10 10:12:18 2015	1439201538	0	122	122	122
Mon Aug 10 10:12:20 2015	1439201540	0	122	122	122
Mon Aug 10 10:12:18 2015	1439201538	0	122	122	122
Mon Aug 10 10:12:20 2015	1439201540	0	123	123	123
Mon Aug 10 10:12:18 2015	1439201538	0	123	123	123
Mon Aug 10 10:12:15 2015	1439201535	0	123	123	123
Mon Aug 10 10:12:16 2015	1439201536	0	123	123	123
Mon Aug 10 10:12:15 2015	1439201535	0	123	123	123
Mon Aug 10 10:12:15 2015	1439201535	0	123	123	123
Mon Aug 10 10:12:15 2015	1439201535	0	123	123	123
Mon Aug 10 10:12:18 2015	1439201538	0	123	123	123
Mon Aug 10 10:12:21 2015	1439201541	0	123	123	123
Mon Aug 10 10:12:15 2015	1439201535	0	123	123	123
Mon Aug 10 10:12:17 2015	1439201537	0	123	123	123
Mon Aug 10 10:12:20 2015	1439201540	0	124	124	124
Mon Aug 10 10:12:18 2015	1439201538	0	124	124	124
Mon Aug 10 10:12:18 2015	1439201538	0	124	124	124
Mon Aug 10 10:12:18 2015	1439201538	0	124	124	124
Mon Aug 10 10:12:19 2015	1439201539	0	125	125	125
Mon Aug 10 10:12:20 2015	1439201540	0	125	125	125
Mon Aug 10 10:12:19 2015	1439201539	0	125	125	125
Mon Aug 10 10:12:15 2015	1439201535	0	125	125	125
Mon Aug 10 10:12:17 2015	1439201537	0	125	125	125
Mon Aug 10 10:12:21 2015	1439201541	0	126	126	126
Mon Aug 10 10:12:16 2015	1439201536	0	127	127	127
Mon Aug 10 10:12:18 2015	1439201538	0	127	127	127
Mon Aug 10 10:12:18 2015	1439201538	0	127	127	127
Mon Aug 10 10:12:19 2015	1439201539	0	127	127	127
Mon Aug 10 10:12:18 2015	1439201538	0	127	127	127
Mon Aug 10 10:12:21 2015	1439201541	0	127	127	127
Mon Aug 10 10:12:21 2015	1439201541	0	127	127	127
Mon Aug 10 10:12:15 2015	1439201535	0	127	127	127
Mon Aug 10 10:12:18 2015	1439201538	0	128	128	128
Mon Aug 10 10:12:20 2015	1439201540	0	128	128	128
Mon Aug 10 10:12:17 2015	1439201537	0	128	128	128
Mon Aug 10 10:12:15 2015	1439201535	0	128	128	128
Mon Aug 10 10:12:16 2015	1439201536	0	129	129	129
Mon Aug 10 10:12:18 2015	1439201538	0	129	129	129
Mon Aug 10 10:12:20 2015	1439201540	0	129	129	129
Mon Aug 10 10:12:15 2015	1439201535	0	129	129	129
Mon Aug 10 10:12:18 2015	1439201538	0	129	129	129
Mon Aug 10 10:12:16 2015	1439201536	0	129	129	129
Mon Aug 10 10:12:15 2015	1439201535	0	129	129	129
Mon Aug 10 10:12:20 2015	1439201540	0	130	130	130
Mon Aug 10 10:12:20 2015	1439201540	0	130	130	130
Mon Aug 10 10:12:17 2015	1439201537	0	130	130	130
Mon Aug 10 10:12:15 2015	1439201535	0	130	130	130
Mon Aug 10 10:12:20 2015	1439201540	0	130	130	130
Mon Aug 10 10:12:18 2015	1439201538	0	130	130	130
Mon Aug 10 10:12:15 2015	1439201535	0	130	130	130
Mon Aug 10 10:12:16 2015	1439201536	0	131	131	131
Mon Aug 10 10:12:19 2015	1439201539	0	131	131	131
Mon Aug 10 10:12:16 2015	1439201536	0	131	131	131
Mon Aug 10 10:12:20 2015	1439201540	0	131	131	131
Mon Aug 10 10:12:21 2015	1439201541	0	132	132	132
Mon Aug 10 10:12:19 2015	1439201539	0	132	132	132
Mon Aug 10 10:12:18 2015	1439201538	0	132	132	132
Mon Aug 10 10:12:20 2015	1439201540	0	132	132	132
Mon Aug 10 10:12:19 2015	1439201539	0	132	132	132
Mon Aug 10 10:12:17 2015	1439201537	0	133	133	133
Mon Aug 10 10:12:18 2015	1439201538	0	133	133	133
Mon Aug 10 10:12:18 2015	1439201538	0	133	133	133
Mon Aug 10 10:12:18 2015	1439201538	0	133	133	133
Mon Aug 10 10:12:21 2015	1439201541	0	133	133	133
Mon Aug 10 10:12:20 2015	1439201540	0	133	133	133
Mon Aug 10 10:12:17 2015	1439201537	0	133	133	133
Mon Aug 10 10:12:19 2015	1439201539	0	134	134	134
Mon Aug 10 10:12:15 2015	1439201535	0	134	134	134
Mon Aug 10 10:12:15 2015	1439201535	0	134	134	134
Mon Aug 10 10:12:18 2015	1439201538	0	134	134	134
Mon Aug 10 10:12:18 2015	1439201538	0	134	134	134
Mon Aug 10 10:12:18 2015	1439201538	0	134	134	134
Mon Aug 10 10:12:21 2015	1439201541	0	134	134	134
Mon Aug 10 10:12:21 2015	1439201541	0	134	134	134
Mon Aug 10 10:12:21 2015	1439201541	0	134	134	134
Mon Aug 10 10:12:20 2015	1439201540	0	134	134	134
Mon Aug 10 10:12:18 2015	1439201538	0	134	134	134
Mon Aug 10 10:12:21 2015	1439201541	0	135	135	135
Mon Aug 10 10:12:16 2015	1439201536	0	135	135	135
Mon Aug 10 10:12:15 2015	1439201535	0	135	135	135
Mon Aug 10 10:12:17 2015	1439201537	0	135	135	135
Mon Aug 10 10:12:16 2015	1439201536	0	135	135	135
Mon Aug 10 10:12:21 2015	1439201541	0	135	135	135
Mon Aug 10 10:12:19 2015	1439201539	0	136	136	136
Mon Aug 10 10:12:15 2015	1439201535	0	136	136	136
Mon Aug 10 10:12:17 2015	1439201537	0	136	136	136
Mon Aug 10 10:12:18 2015	1439201538	0	136	136	136
Mon Aug 10 10:12:15 2015	1439201535	0	136	136	136
Mon Aug 10 10:12:20 2015	1439201540	0	136	136	136
Mon Aug 10 10:12:19 2015	1439201539	0	136	136	136
Mon Aug 10 10:12:18 2015	1439201538	0	136	136	136
Mon Aug 10 10:12:21 2015	1439201541	0	137	137	137
Mon Aug 10 10:12:21 2015	1439201541	0	137	137	137
Mon Aug 10 10:12:20 2015	1439201540	0	137	137	137
Mon Aug 10 10:12:21 2015	1439201541	0	137	137	137
Mon Aug 10 10:12:17 2015	1439201537	0	137	137	137
Mon Aug 10 10:12:16 2015	1439201536	0	137	137	137
Mon Aug 10 10:12:20 2015	1439201540	0	138	138	138
Mon Aug 10 10:12:18 2015	1439201538	0	138	138	138
Mon Aug 10 10:12:18 2015	1439201538	0	138	138	138
Mon Aug 10 10:12:21 2015	1439201541	0	138	138	138
Mon Aug 10 10:12:18 2015	1439201538	0	138	138	138
Mon Aug 10 10:12:18 2015	1439201538	0	138	138	138
Mon Aug 10 10:12:20 2015	1439201540	0	138	138	138
Mon Aug 10 10:12:18 2015	1439201538	0	138	138	138
Mon Aug 10 10:12:21 2015	1439201541	0	139	139	139
Mon Aug 10 10:12:19 2015	1439201539	0	139	139	139
Mon Aug 10 10:12:18 2015	1439201538	0	139	139	139
Mon Aug 10 10:12:16 2015	1439201536	0	139	139	139
Mon Aug 10 10:12:21 2015	1439201541	0	139	139	139
Mon Aug 10 10:12:17 2015	1439201537	0	139	139	139
Mon Aug 10 10:12:19 2015	1439201539	0	139	139	139
Mon Aug 10 10:12:21 2015	1439201541	0	140	140	140
Mon Aug 10 10:12:15 2015	1439201535	0	140	140	140
Mon Aug 10 10:12:15 2015	1439201535	0	140	140	140
Mon Aug 10 10:12:21 2015	1439201541	0	140	140	140
Mon Aug 10 10:12:18 2015	1439201538	0	140	140	140
Mon Aug 10 10:12:20 2015	1439201540	0	140	140	140
Mon Aug 10 10:12:18 2015	1439201538	0	140	140	140
Mon Aug 10 10:12:16 2015	1439201536	0	140	140	140
Mon Aug 10 10:12:20 2015	1439201540	0	140	140	140
Mon Aug 10 10:12:18 2015	1439201538	0	140	140	140
Mon Aug 10 10:12:20 2015	1439201540	0	141	141	141
Mon Aug 10 10:12:18 2015	1439201538	0	141	141	141
Mon Aug 10 10:12:15 2015	1439201535	0	141	141	141
Mon Aug 10 10:12:19 2015	1439201539	0	141	141	141
Mon Aug 10 10:12:19 2015	1439201539	0	141	141	141
Mon Aug 10 10:12:15 2015	1439201535	0	141	141	141
Mon Aug 10 10:12:17 2015	1439201537	0	141	141	141
Mon Aug 10 10:12:19 2015	1439201539	0	141	141	141
Mon Aug 10 10:12:18 2015	1439201538	0	141	141	141
Mon Aug 10 10:12:16 2015	1439201536	0	142	142	142
Mon Aug 10 10:12:17 2015	1439201537	0	142	142	142
Mon Aug 10 10:12:19 2015	1439201539	0	142	142	142
Mon Aug 10 10:12:18 2015	1439201538	0	142	142	142
Mon Aug 10 10:12:20 2015	1439201540	0	142	142	142
Mon Aug 10 10:12:19 2015	1439201539	0	142	142	142
Mon Aug 10 10:12:21 2015	1439201541	0	142	142	142
Mon Aug 10 10:12:17 2015	1439201537	0	143	143	143
Mon Aug 10 10:12:18 2015	1439201538	0	143	143	143
Mon Aug 10 10:12:17 2015	1439201537	0	143	143	143
Mon Aug 10 10:12:18 2015	1439201538	0	143	143	143
Mon Aug 10 10:12:19 2015	1439201539	0	143	143	143
Mon Aug 10 10:12:18 2015	1439201538	0	143	143	143
Mon Aug 10 10:12:18 2015	1439201538	0	143	143	143
Mon Aug 10 10:12:21 2015	1439201541	0	144	144	143
Mon Aug 10 10:12:20 2015	1439201540	0	144	144	144
Mon Aug 10 10:12:20 2015	1439201540	0	144	144	144
Mon Aug 10 10:12:15 2015	1439201535	0	144	144	144
Mon Aug 10 10:12:19 2015	1439201539	0	144	144	144
Mon Aug 10 10:12:19 2015	1439201539	0	144	144	144
Mon Aug 10 10:12:19 2015	1439201539	0	144	144	144
Mon Aug 10 10:12:19 2015	1439201539	0	144	144	144
Mon Aug 10 10:12:19 2015	1439201539	0	144	144	144
Mon Aug 10 10:12:21 2015	1439201541	0	144	144	144
