starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 11:50:53 2015	1439207453	0	16	16	16
Mon Aug 10 11:50:51 2015	1439207451	0	16	16	16
Mon Aug 10 11:50:52 2015	1439207452	0	16	16	16
Mon Aug 10 11:50:53 2015	1439207453	0	16	16	16
Mon Aug 10 11:50:53 2015	1439207453	0	16	16	16
Mon Aug 10 11:50:53 2015	1439207453	0	17	17	17
Mon Aug 10 11:50:52 2015	1439207452	0	17	17	17
Mon Aug 10 11:50:53 2015	1439207453	0	18	18	18
Mon Aug 10 11:50:53 2015	1439207453	0	18	18	18
Mon Aug 10 11:50:53 2015	1439207453	0	18	18	18
Mon Aug 10 11:50:53 2015	1439207453	0	18	18	18
Mon Aug 10 11:50:53 2015	1439207453	0	18	18	18
Mon Aug 10 11:50:52 2015	1439207452	0	18	18	18
Mon Aug 10 11:50:52 2015	1439207452	0	18	18	18
Mon Aug 10 11:50:52 2015	1439207452	0	18	18	18
Mon Aug 10 11:50:52 2015	1439207452	0	19	19	19
Mon Aug 10 11:50:52 2015	1439207452	0	19	19	19
Mon Aug 10 11:50:52 2015	1439207452	0	19	19	19
Mon Aug 10 11:50:53 2015	1439207453	0	19	19	19
Mon Aug 10 11:50:52 2015	1439207452	0	19	19	19
Mon Aug 10 11:50:53 2015	1439207453	0	19	19	19
Mon Aug 10 11:50:52 2015	1439207452	0	19	19	19
Mon Aug 10 11:50:52 2015	1439207452	0	19	19	19
Mon Aug 10 11:50:52 2015	1439207452	0	19	19	19
Mon Aug 10 11:50:52 2015	1439207452	0	19	19	19
Mon Aug 10 11:50:53 2015	1439207453	0	20	20	19
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	20	20	20
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
Mon Aug 10 11:50:52 2015	1439207452	0	21	21	21
