starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 14:46:16 2015	1439217976	0	132	132	132
Mon Aug 10 14:46:16 2015	1439217976	0	132	132	132
Mon Aug 10 14:46:16 2015	1439217976	0	133	133	133
Mon Aug 10 14:46:16 2015	1439217976	0	134	134	134
Mon Aug 10 14:46:16 2015	1439217976	0	134	134	134
Mon Aug 10 14:46:16 2015	1439217976	0	139	139	139
Mon Aug 10 14:46:16 2015	1439217976	0	142	142	142
Mon Aug 10 14:46:16 2015	1439217976	0	147	147	147
Mon Aug 10 14:46:16 2015	1439217976	0	159	159	159
Mon Aug 10 14:45:53 2015	1439217953	0	161	161	161
Mon Aug 10 14:45:53 2015	1439217953	0	166	166	166
Mon Aug 10 14:45:54 2015	1439217954	0	166	166	166
Mon Aug 10 14:45:53 2015	1439217953	0	170	170	170
Mon Aug 10 14:45:53 2015	1439217953	0	170	170	170
Mon Aug 10 14:45:53 2015	1439217953	0	170	170	170
Mon Aug 10 14:45:53 2015	1439217953	0	171	171	171
Mon Aug 10 14:45:54 2015	1439217954	0	171	171	171
Mon Aug 10 14:45:53 2015	1439217953	0	171	171	171
Mon Aug 10 14:45:53 2015	1439217953	0	172	172	172
Mon Aug 10 14:45:53 2015	1439217953	0	173	173	173
Mon Aug 10 14:45:54 2015	1439217954	0	174	174	174
Mon Aug 10 14:45:53 2015	1439217953	0	174	174	174
Mon Aug 10 14:45:53 2015	1439217953	0	174	174	174
Mon Aug 10 14:45:54 2015	1439217954	0	175	175	175
Mon Aug 10 14:45:54 2015	1439217954	0	175	175	175
Mon Aug 10 14:45:53 2015	1439217953	0	176	176	176
Mon Aug 10 14:45:54 2015	1439217954	0	177	177	177
Mon Aug 10 14:45:54 2015	1439217954	0	178	178	178
Mon Aug 10 14:45:54 2015	1439217954	0	179	179	179
Mon Aug 10 14:45:54 2015	1439217954	0	180	180	180
Mon Aug 10 14:45:54 2015	1439217954	0	180	180	180
Mon Aug 10 14:45:54 2015	1439217954	0	183	183	183
Mon Aug 10 14:45:54 2015	1439217954	0	183	183	183
Mon Aug 10 14:45:54 2015	1439217954	0	183	183	183
Mon Aug 10 14:45:53 2015	1439217953	0	184	184	184
Mon Aug 10 14:45:54 2015	1439217954	0	184	184	184
Mon Aug 10 14:45:54 2015	1439217954	0	185	185	185
Mon Aug 10 14:45:54 2015	1439217954	0	185	185	185
Mon Aug 10 14:45:53 2015	1439217953	0	186	186	186
Mon Aug 10 14:45:54 2015	1439217954	0	186	186	186
Mon Aug 10 14:45:53 2015	1439217953	0	186	186	186
Mon Aug 10 14:45:53 2015	1439217953	0	187	187	187
Mon Aug 10 14:45:53 2015	1439217953	0	187	187	187
Mon Aug 10 14:45:54 2015	1439217954	0	188	188	188
Mon Aug 10 14:45:54 2015	1439217954	0	188	188	188
Mon Aug 10 14:45:54 2015	1439217954	0	189	189	189
Mon Aug 10 14:45:54 2015	1439217954	0	189	189	189
Mon Aug 10 14:45:54 2015	1439217954	0	189	189	189
Mon Aug 10 14:45:54 2015	1439217954	0	189	189	189
Mon Aug 10 14:45:54 2015	1439217954	0	190	190	190
Mon Aug 10 14:45:54 2015	1439217954	0	190	190	190
Mon Aug 10 14:45:54 2015	1439217954	0	191	191	191
Mon Aug 10 14:45:53 2015	1439217953	0	191	191	191
Mon Aug 10 14:45:53 2015	1439217953	0	192	192	192
Mon Aug 10 14:45:53 2015	1439217953	0	193	193	193
Mon Aug 10 14:45:54 2015	1439217954	0	193	193	193
Mon Aug 10 14:45:53 2015	1439217953	0	193	193	193
Mon Aug 10 14:45:53 2015	1439217953	0	193	193	193
Mon Aug 10 14:45:54 2015	1439217954	0	193	193	193
Mon Aug 10 14:45:53 2015	1439217953	0	193	193	193
Mon Aug 10 14:45:53 2015	1439217953	0	194	194	193
Mon Aug 10 14:45:54 2015	1439217954	0	194	194	194
Mon Aug 10 14:45:53 2015	1439217953	0	194	194	194
Mon Aug 10 14:45:53 2015	1439217953	0	194	194	194
Mon Aug 10 14:45:53 2015	1439217953	0	195	195	195
Mon Aug 10 14:45:54 2015	1439217954	0	196	196	196
Mon Aug 10 14:45:54 2015	1439217954	0	196	196	196
Mon Aug 10 14:45:53 2015	1439217953	0	197	197	197
Mon Aug 10 14:45:54 2015	1439217954	0	198	198	198
Mon Aug 10 14:45:54 2015	1439217954	0	198	198	198
Mon Aug 10 14:45:53 2015	1439217953	0	199	199	199
Mon Aug 10 14:45:53 2015	1439217953	0	199	199	199
Mon Aug 10 14:45:53 2015	1439217953	0	199	199	199
Mon Aug 10 14:45:53 2015	1439217953	0	199	199	199
Mon Aug 10 14:45:53 2015	1439217953	0	200	200	200
Mon Aug 10 14:45:53 2015	1439217953	0	200	200	200
Mon Aug 10 14:45:53 2015	1439217953	0	200	200	200
Mon Aug 10 14:45:54 2015	1439217954	0	200	200	200
Mon Aug 10 14:45:53 2015	1439217953	0	201	201	201
Mon Aug 10 14:45:53 2015	1439217953	0	201	201	201
Mon Aug 10 14:45:53 2015	1439217953	0	202	202	202
Mon Aug 10 14:45:54 2015	1439217954	0	202	202	202
Mon Aug 10 14:45:53 2015	1439217953	0	202	202	202
Mon Aug 10 14:45:54 2015	1439217954	0	202	202	202
Mon Aug 10 14:45:54 2015	1439217954	0	203	203	203
Mon Aug 10 14:45:53 2015	1439217953	0	203	203	203
Mon Aug 10 14:45:54 2015	1439217954	0	203	203	203
Mon Aug 10 14:45:54 2015	1439217954	0	203	203	203
Mon Aug 10 14:45:54 2015	1439217954	0	203	203	203
Mon Aug 10 14:45:53 2015	1439217953	0	204	204	204
Mon Aug 10 14:45:54 2015	1439217954	0	204	204	204
Mon Aug 10 14:45:53 2015	1439217953	0	205	205	205
