starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 13:23:47 2015	1439213027	0	49	49	49
Mon Aug 10 13:23:47 2015	1439213027	0	49	49	49
Mon Aug 10 13:23:47 2015	1439213027	0	50	50	50
Mon Aug 10 13:23:50 2015	1439213030	0	53	53	53
Mon Aug 10 13:23:47 2015	1439213027	0	54	54	54
Mon Aug 10 13:23:52 2015	1439213032	0	60	60	60
Mon Aug 10 13:23:52 2015	1439213032	0	61	61	61
Mon Aug 10 13:23:51 2015	1439213031	0	61	61	61
Mon Aug 10 13:23:52 2015	1439213032	0	61	61	61
Mon Aug 10 13:23:50 2015	1439213030	0	61	61	61
Mon Aug 10 13:23:50 2015	1439213030	0	61	61	61
Mon Aug 10 13:23:50 2015	1439213030	0	61	61	61
Mon Aug 10 13:23:50 2015	1439213030	0	62	62	62
Mon Aug 10 13:23:52 2015	1439213032	0	62	62	62
Mon Aug 10 13:23:52 2015	1439213032	0	63	63	63
Mon Aug 10 13:23:52 2015	1439213032	0	64	64	64
Mon Aug 10 13:23:52 2015	1439213032	0	64	64	64
Mon Aug 10 13:23:52 2015	1439213032	0	65	65	64
Mon Aug 10 13:23:50 2015	1439213030	0	65	65	65
Mon Aug 10 13:23:52 2015	1439213032	0	65	65	65
Mon Aug 10 13:23:50 2015	1439213030	0	65	65	65
Mon Aug 10 13:23:47 2015	1439213027	0	65	65	65
Mon Aug 10 13:23:50 2015	1439213030	0	65	65	65
Mon Aug 10 13:23:50 2015	1439213030	0	66	66	66
Mon Aug 10 13:23:50 2015	1439213030	0	66	66	66
Mon Aug 10 13:23:50 2015	1439213030	0	66	66	66
Mon Aug 10 13:23:47 2015	1439213027	0	66	66	66
Mon Aug 10 13:23:47 2015	1439213027	0	66	66	66
Mon Aug 10 13:23:50 2015	1439213030	0	66	66	66
Mon Aug 10 13:23:52 2015	1439213032	0	66	66	66
Mon Aug 10 13:23:50 2015	1439213030	0	67	67	67
Mon Aug 10 13:23:52 2015	1439213032	0	67	67	67
Mon Aug 10 13:23:50 2015	1439213030	0	67	67	67
Mon Aug 10 13:23:47 2015	1439213027	0	67	67	67
Mon Aug 10 13:23:47 2015	1439213027	0	67	67	67
Mon Aug 10 13:23:47 2015	1439213027	0	67	67	67
Mon Aug 10 13:23:50 2015	1439213030	0	67	67	67
Mon Aug 10 13:23:50 2015	1439213030	0	67	67	67
Mon Aug 10 13:23:47 2015	1439213027	0	67	67	67
Mon Aug 10 13:23:47 2015	1439213027	0	67	67	67
Mon Aug 10 13:23:47 2015	1439213027	0	67	67	67
Mon Aug 10 13:23:50 2015	1439213030	0	68	68	68
Mon Aug 10 13:23:47 2015	1439213027	0	68	68	68
Mon Aug 10 13:23:50 2015	1439213030	0	68	68	68
Mon Aug 10 13:23:47 2015	1439213027	0	69	69	69
Mon Aug 10 13:23:47 2015	1439213027	0	69	69	69
Mon Aug 10 13:23:50 2015	1439213030	0	69	69	69
Mon Aug 10 13:23:50 2015	1439213030	0	69	69	69
Mon Aug 10 13:23:52 2015	1439213032	0	69	69	69
Mon Aug 10 13:23:50 2015	1439213030	0	70	70	70
Mon Aug 10 13:23:47 2015	1439213027	0	70	70	70
Mon Aug 10 13:23:52 2015	1439213032	0	70	70	70
Mon Aug 10 13:23:47 2015	1439213027	0	70	70	70
Mon Aug 10 13:23:50 2015	1439213030	0	70	70	70
Mon Aug 10 13:23:52 2015	1439213032	0	70	70	70
Mon Aug 10 13:23:52 2015	1439213032	0	70	70	70
Mon Aug 10 13:23:52 2015	1439213032	0	70	70	70
Mon Aug 10 13:23:50 2015	1439213030	0	70	70	70
Mon Aug 10 13:23:47 2015	1439213027	0	70	70	70
Mon Aug 10 13:23:50 2015	1439213030	0	70	70	70
Mon Aug 10 13:23:50 2015	1439213030	0	70	70	70
Mon Aug 10 13:23:50 2015	1439213030	0	71	71	71
Mon Aug 10 13:23:50 2015	1439213030	0	71	71	71
Mon Aug 10 13:23:50 2015	1439213030	0	71	71	71
Mon Aug 10 13:23:50 2015	1439213030	0	71	71	71
