starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 13:45:04 2015	1439214304	336	98	433	98
Mon Aug 10 13:45:04 2015	1439214304	332	101	433	101
Mon Aug 10 13:45:04 2015	1439214304	331	102	433	102
Mon Aug 10 13:45:04 2015	1439214304	356	89	445	89
Mon Aug 10 13:45:35 2015	1439214335	307	142	449	142
Mon Aug 10 13:45:35 2015	1439214335	307	143	450	143
Mon Aug 10 13:45:04 2015	1439214304	362	150	512	150
Mon Aug 10 13:45:44 2015	1439214344	260	320	581	320
Mon Aug 10 13:45:44 2015	1439214344	260	321	581	320
Mon Aug 10 13:45:44 2015	1439214344	261	321	581	321
Mon Aug 10 13:45:36 2015	1439214336	147	455	601	455
Mon Aug 10 13:45:44 2015	1439214344	292	320	612	319
Mon Aug 10 13:45:44 2015	1439214344	292	321	612	320
Mon Aug 10 13:45:44 2015	1439214344	293	320	612	319
Mon Aug 10 13:45:44 2015	1439214344	292	321	613	320
Mon Aug 10 13:45:44 2015	1439214344	292	321	614	321
Mon Aug 10 13:45:44 2015	1439214344	293	321	614	321
Mon Aug 10 13:45:44 2015	1439214344	293	321	614	321
Mon Aug 10 13:45:44 2015	1439214344	292	322	614	322
Mon Aug 10 13:45:44 2015	1439214344	292	322	615	322
Mon Aug 10 13:45:44 2015	1439214344	293	322	615	322
Mon Aug 10 13:45:44 2015	1439214344	293	322	615	322
Mon Aug 10 13:45:44 2015	1439214344	293	322	615	322
Mon Aug 10 13:45:44 2015	1439214344	293	323	615	322
Mon Aug 10 13:45:44 2015	1439214344	293	323	615	323
Mon Aug 10 13:45:44 2015	1439214344	294	322	616	322
Mon Aug 10 13:45:44 2015	1439214344	295	323	617	322
Mon Aug 10 13:45:44 2015	1439214344	294	323	617	323
Mon Aug 10 13:45:44 2015	1439214344	294	324	617	323
Mon Aug 10 13:45:44 2015	1439214344	293	324	618	324
Mon Aug 10 13:45:44 2015	1439214344	295	323	618	323
Mon Aug 10 13:45:44 2015	1439214344	294	324	618	323
Mon Aug 10 13:45:44 2015	1439214344	294	324	618	324
Mon Aug 10 13:45:44 2015	1439214344	294	325	619	325
Mon Aug 10 13:45:36 2015	1439214336	136	503	639	503
Mon Aug 10 13:45:43 2015	1439214343	276	387	663	387
Mon Aug 10 13:45:47 2015	1439214347	196	480	676	480
Mon Aug 10 13:45:47 2015	1439214347	204	484	688	484
Mon Aug 10 13:45:47 2015	1439214347	204	484	688	484
Mon Aug 10 13:45:47 2015	1439214347	205	485	690	485
Mon Aug 10 13:45:47 2015	1439214347	205	486	691	486
Mon Aug 10 13:45:47 2015	1439214347	205	486	691	486
Mon Aug 10 13:45:47 2015	1439214347	205	486	691	486
Mon Aug 10 13:45:36 2015	1439214336	97	596	693	596
Mon Aug 10 13:45:47 2015	1439214347	234	463	697	463
Mon Aug 10 13:44:56 2015	1439214296	208	489	697	489
Mon Aug 10 13:45:26 2015	1439214326	273	432	705	432
Mon Aug 10 13:45:26 2015	1439214326	279	427	706	427
Mon Aug 10 13:45:26 2015	1439214326	278	442	720	442
Mon Aug 10 13:45:33 2015	1439214333	236	510	745	509
Mon Aug 10 13:44:58 2015	1439214298	347	399	746	399
Mon Aug 10 13:44:58 2015	1439214298	347	400	747	400
Mon Aug 10 13:45:33 2015	1439214333	241	515	756	515
Mon Aug 10 13:45:33 2015	1439214333	240	519	760	519
Mon Aug 10 13:45:33 2015	1439214333	237	524	761	523
Mon Aug 10 13:44:58 2015	1439214298	362	401	763	400
Mon Aug 10 13:44:58 2015	1439214298	362	401	763	401
Mon Aug 10 13:44:58 2015	1439214298	362	401	763	401
Mon Aug 10 13:44:58 2015	1439214298	362	401	763	401
Mon Aug 10 13:44:58 2015	1439214298	362	401	763	401
Mon Aug 10 13:44:58 2015	1439214298	362	401	763	401
Mon Aug 10 13:44:58 2015	1439214298	363	401	763	401
Mon Aug 10 13:45:36 2015	1439214336	190	596	786	596
Mon Aug 10 13:45:29 2015	1439214329	170	652	822	652
Mon Aug 10 13:45:36 2015	1439214336	614	214	828	213
Mon Aug 10 13:45:36 2015	1439214336	436	394	830	394
Mon Aug 10 13:45:29 2015	1439214329	167	664	831	664
Mon Aug 10 13:45:29 2015	1439214329	181	650	831	650
Mon Aug 10 13:45:29 2015	1439214329	177	654	831	654
Mon Aug 10 13:45:29 2015	1439214329	171	660	832	660
Mon Aug 10 13:45:29 2015	1439214329	171	661	832	661
Mon Aug 10 13:45:29 2015	1439214329	171	663	834	663
Mon Aug 10 13:45:29 2015	1439214329	172	663	835	663
Mon Aug 10 13:45:36 2015	1439214336	614	222	836	222
Mon Aug 10 13:45:36 2015	1439214336	614	223	837	223
Mon Aug 10 13:45:36 2015	1439214336	614	224	838	224
Mon Aug 10 13:45:33 2015	1439214333	235	608	843	608
Mon Aug 10 13:45:33 2015	1439214333	235	608	843	607
Mon Aug 10 13:45:33 2015	1439214333	240	610	850	609
Mon Aug 10 13:45:33 2015	1439214333	240	611	850	610
Mon Aug 10 13:45:33 2015	1439214333	240	610	850	610
Mon Aug 10 13:45:36 2015	1439214336	614	254	868	254
Mon Aug 10 13:45:36 2015	1439214336	614	254	868	253
Mon Aug 10 13:45:00 2015	1439214300	334	537	872	537
Mon Aug 10 13:45:00 2015	1439214300	334	538	872	538
Mon Aug 10 13:45:29 2015	1439214329	174	701	875	701
Mon Aug 10 13:45:00 2015	1439214300	333	547	880	547
Mon Aug 10 13:45:47 2015	1439214347	730	150	880	150
Mon Aug 10 13:45:00 2015	1439214300	333	548	882	548
Mon Aug 10 13:45:00 2015	1439214300	333	549	882	549
Mon Aug 10 13:45:00 2015	1439214300	333	550	883	550
Mon Aug 10 13:45:00 2015	1439214300	333	550	883	550
Mon Aug 10 13:45:29 2015	1439214329	172	713	885	713
Mon Aug 10 13:45:29 2015	1439214329	164	722	886	722
Mon Aug 10 13:45:27 2015	1439214327	459	442	901	442
Mon Aug 10 13:45:27 2015	1439214327	459	442	902	442
Mon Aug 10 13:45:27 2015	1439214327	459	443	902	443
Mon Aug 10 13:45:47 2015	1439214347	755	151	906	151
Mon Aug 10 13:45:47 2015	1439214347	755	152	907	152
Mon Aug 10 13:45:47 2015	1439214347	755	153	907	152
Mon Aug 10 13:45:47 2015	1439214347	755	152	907	152
Mon Aug 10 13:45:47 2015	1439214347	756	152	908	152
Mon Aug 10 13:45:47 2015	1439214347	755	153	908	153
Mon Aug 10 13:45:47 2015	1439214347	755	153	908	153
Mon Aug 10 13:45:47 2015	1439214347	756	153	909	153
Mon Aug 10 13:45:47 2015	1439214347	755	154	910	154
Mon Aug 10 13:45:35 2015	1439214335	186	724	910	724
Mon Aug 10 13:45:35 2015	1439214335	185	725	910	725
Mon Aug 10 13:45:35 2015	1439214335	186	725	911	725
Mon Aug 10 13:45:35 2015	1439214335	186	725	911	725
Mon Aug 10 13:45:17 2015	1439214317	535	378	913	378
Mon Aug 10 13:45:35 2015	1439214335	204	725	929	725
Mon Aug 10 13:45:35 2015	1439214335	203	726	929	726
Mon Aug 10 13:45:35 2015	1439214335	205	724	929	724
Mon Aug 10 13:45:35 2015	1439214335	205	725	930	725
Mon Aug 10 13:45:05 2015	1439214305	695	250	945	250
Mon Aug 10 13:45:35 2015	1439214335	723	224	947	224
Mon Aug 10 13:45:35 2015	1439214335	723	225	948	225
Mon Aug 10 13:45:35 2015	1439214335	188	763	951	762
Mon Aug 10 13:45:35 2015	1439214335	135	819	954	819
Mon Aug 10 13:45:33 2015	1439214333	439	517	956	517
Mon Aug 10 13:45:35 2015	1439214335	723	234	956	234
Mon Aug 10 13:45:33 2015	1439214333	438	520	957	519
Mon Aug 10 13:45:33 2015	1439214333	438	520	958	520
Mon Aug 10 13:45:33 2015	1439214333	437	521	958	521
Mon Aug 10 13:45:33 2015	1439214333	439	521	960	521
Mon Aug 10 13:45:35 2015	1439214335	202	770	972	769
Mon Aug 10 13:45:33 2015	1439214333	436	544	980	544
Mon Aug 10 13:45:33 2015	1439214333	437	544	980	544
Mon Aug 10 13:45:33 2015	1439214333	436	545	981	545
Mon Aug 10 13:45:35 2015	1439214335	723	264	987	264
Mon Aug 10 13:45:17 2015	1439214317	617	371	988	371
Mon Aug 10 13:45:17 2015	1439214317	617	372	989	372
Mon Aug 10 13:45:17 2015	1439214317	617	372	989	372
Mon Aug 10 13:45:17 2015	1439214317	618	372	990	372
Mon Aug 10 13:45:17 2015	1439214317	618	372	990	372
Mon Aug 10 13:45:00 2015	1439214300	334	657	991	657
Mon Aug 10 13:45:00 2015	1439214300	334	658	991	658
Mon Aug 10 13:45:00 2015	1439214300	336	656	992	656
Mon Aug 10 13:45:00 2015	1439214300	333	659	992	659
Mon Aug 10 13:45:05 2015	1439214305	776	216	993	216
Mon Aug 10 13:45:00 2015	1439214300	332	661	993	661
Mon Aug 10 13:45:00 2015	1439214300	334	659	993	659
Mon Aug 10 13:45:00 2015	1439214300	333	660	993	660
Mon Aug 10 13:45:00 2015	1439214300	334	660	994	660
Mon Aug 10 13:45:00 2015	1439214300	333	661	994	661
Mon Aug 10 13:45:00 2015	1439214300	333	661	994	661
Mon Aug 10 13:45:00 2015	1439214300	334	660	994	660
Mon Aug 10 13:45:00 2015	1439214300	332	662	994	662
Mon Aug 10 13:45:05 2015	1439214305	776	218	994	218
Mon Aug 10 13:45:17 2015	1439214317	617	377	994	377
Mon Aug 10 13:45:00 2015	1439214300	332	663	995	662
Mon Aug 10 13:45:00 2015	1439214300	333	662	995	662
Mon Aug 10 13:45:00 2015	1439214300	333	662	995	662
Mon Aug 10 13:45:00 2015	1439214300	333	662	995	661
Mon Aug 10 13:45:00 2015	1439214300	333	662	995	662
Mon Aug 10 13:45:00 2015	1439214300	334	662	995	662
Mon Aug 10 13:45:00 2015	1439214300	333	662	995	662
Mon Aug 10 13:45:00 2015	1439214300	333	663	996	663
Mon Aug 10 13:45:05 2015	1439214305	777	219	996	219
Mon Aug 10 13:45:17 2015	1439214317	616	381	997	381
Mon Aug 10 13:45:05 2015	1439214305	776	221	997	221
Mon Aug 10 13:45:05 2015	1439214305	776	221	997	221
Mon Aug 10 13:45:17 2015	1439214317	616	381	997	381
Mon Aug 10 13:45:17 2015	1439214317	616	381	997	381
Mon Aug 10 13:45:17 2015	1439214317	617	380	997	380
Mon Aug 10 13:45:17 2015	1439214317	617	381	998	381
Mon Aug 10 13:45:17 2015	1439214317	617	381	998	381
Mon Aug 10 13:45:17 2015	1439214317	617	381	998	381
Mon Aug 10 13:45:17 2015	1439214317	617	382	999	382
Mon Aug 10 13:45:23 2015	1439214323	506	495	1001	495
Mon Aug 10 13:45:23 2015	1439214323	499	503	1002	503
Mon Aug 10 13:45:23 2015	1439214323	499	503	1002	503
Mon Aug 10 13:45:23 2015	1439214323	499	504	1003	504
Mon Aug 10 13:45:23 2015	1439214323	499	504	1003	504
Mon Aug 10 13:45:23 2015	1439214323	499	504	1003	504
Mon Aug 10 13:45:23 2015	1439214323	499	504	1003	504
Mon Aug 10 13:45:23 2015	1439214323	499	504	1004	504
Mon Aug 10 13:45:23 2015	1439214323	500	504	1004	504
Mon Aug 10 13:45:23 2015	1439214323	499	505	1004	505
Mon Aug 10 13:45:23 2015	1439214323	500	505	1005	505
Mon Aug 10 13:45:23 2015	1439214323	499	505	1005	505
Mon Aug 10 13:45:23 2015	1439214323	499	506	1005	506
Mon Aug 10 13:45:23 2015	1439214323	500	505	1005	505
Mon Aug 10 13:45:04 2015	1439214304	168	838	1006	838
Mon Aug 10 13:45:23 2015	1439214323	500	506	1006	506
Mon Aug 10 13:45:04 2015	1439214304	168	838	1006	838
Mon Aug 10 13:45:04 2015	1439214304	168	839	1007	838
Mon Aug 10 13:45:04 2015	1439214304	169	838	1007	838
Mon Aug 10 13:45:04 2015	1439214304	166	842	1007	842
Mon Aug 10 13:45:04 2015	1439214304	168	839	1007	839
Mon Aug 10 13:45:42 2015	1439214342	387	620	1007	620
Mon Aug 10 13:45:23 2015	1439214323	443	567	1009	567
Mon Aug 10 13:45:05 2015	1439214305	406	604	1010	604
Mon Aug 10 13:45:05 2015	1439214305	776	236	1012	236
Mon Aug 10 13:45:05 2015	1439214305	777	237	1014	237
Mon Aug 10 13:45:28 2015	1439214328	166	869	1034	869
Mon Aug 10 13:45:28 2015	1439214328	166	869	1035	869
Mon Aug 10 13:45:28 2015	1439214328	166	869	1035	869
Mon Aug 10 13:45:28 2015	1439214328	166	869	1035	869
Mon Aug 10 13:45:28 2015	1439214328	166	870	1036	870
Mon Aug 10 13:45:35 2015	1439214335	306	730	1036	730
