starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 13:56:52 2015	1439215012	0	50	50	50
Mon Aug 10 13:56:52 2015	1439215012	0	50	50	50
Mon Aug 10 13:56:52 2015	1439215012	0	51	51	51
Mon Aug 10 13:56:51 2015	1439215011	0	51	51	51
Mon Aug 10 13:56:51 2015	1439215011	0	51	51	51
Mon Aug 10 13:56:52 2015	1439215012	0	51	51	51
Mon Aug 10 13:56:51 2015	1439215011	0	51	51	51
Mon Aug 10 13:56:51 2015	1439215011	0	51	51	51
Mon Aug 10 13:56:52 2015	1439215012	0	51	51	51
Mon Aug 10 13:56:51 2015	1439215011	0	51	51	51
Mon Aug 10 13:56:51 2015	1439215011	0	51	51	51
Mon Aug 10 13:56:51 2015	1439215011	0	51	51	51
Mon Aug 10 13:56:51 2015	1439215011	0	53	53	53
Mon Aug 10 13:56:51 2015	1439215011	0	53	53	53
Mon Aug 10 13:56:51 2015	1439215011	0	53	53	53
Mon Aug 10 13:56:51 2015	1439215011	0	54	54	54
Mon Aug 10 13:56:51 2015	1439215011	0	54	54	54
Mon Aug 10 13:56:51 2015	1439215011	0	54	54	54
Mon Aug 10 13:56:51 2015	1439215011	0	54	54	54
Mon Aug 10 13:56:51 2015	1439215011	0	54	54	54
Mon Aug 10 13:56:51 2015	1439215011	0	54	54	54
Mon Aug 10 13:56:51 2015	1439215011	0	54	54	54
Mon Aug 10 13:56:51 2015	1439215011	0	54	54	54
Mon Aug 10 13:56:51 2015	1439215011	0	54	54	54
Mon Aug 10 13:56:54 2015	1439215014	0	58	58	58
Mon Aug 10 13:56:50 2015	1439215010	0	59	59	59
Mon Aug 10 13:56:50 2015	1439215010	0	59	59	59
Mon Aug 10 13:56:50 2015	1439215010	0	59	59	59
Mon Aug 10 13:56:50 2015	1439215010	0	59	59	59
Mon Aug 10 13:56:52 2015	1439215012	0	60	60	60
Mon Aug 10 13:56:52 2015	1439215012	0	60	60	60
Mon Aug 10 13:56:50 2015	1439215010	0	60	60	60
Mon Aug 10 13:56:52 2015	1439215012	0	60	60	60
Mon Aug 10 13:56:52 2015	1439215012	0	60	60	60
Mon Aug 10 13:56:50 2015	1439215010	0	60	60	60
Mon Aug 10 13:56:52 2015	1439215012	0	60	60	60
Mon Aug 10 13:56:52 2015	1439215012	0	60	60	60
Mon Aug 10 13:56:52 2015	1439215012	0	61	61	61
Mon Aug 10 13:56:52 2015	1439215012	0	61	61	61
Mon Aug 10 13:56:52 2015	1439215012	0	61	61	61
Mon Aug 10 13:56:52 2015	1439215012	0	64	64	63
Mon Aug 10 13:56:52 2015	1439215012	0	64	64	64
Mon Aug 10 13:56:52 2015	1439215012	0	64	64	64
Mon Aug 10 13:56:52 2015	1439215012	0	64	64	64
Mon Aug 10 13:56:52 2015	1439215012	0	64	64	64
Mon Aug 10 13:56:52 2015	1439215012	0	64	64	64
Mon Aug 10 13:56:52 2015	1439215012	0	64	64	64
Mon Aug 10 13:56:52 2015	1439215012	0	64	64	64
Mon Aug 10 13:56:52 2015	1439215012	0	64	64	64
Mon Aug 10 13:56:52 2015	1439215012	0	65	65	65
Mon Aug 10 13:56:52 2015	1439215012	0	65	65	65
Mon Aug 10 13:56:52 2015	1439215012	0	65	65	65
Mon Aug 10 13:56:52 2015	1439215012	0	65	65	65
Mon Aug 10 13:56:52 2015	1439215012	0	65	65	65
Mon Aug 10 13:56:52 2015	1439215012	0	65	65	65
Mon Aug 10 13:56:52 2015	1439215012	0	65	65	65
Mon Aug 10 13:56:52 2015	1439215012	0	65	65	65
Mon Aug 10 13:56:52 2015	1439215012	0	66	66	66
Mon Aug 10 13:56:52 2015	1439215012	0	66	66	66
Mon Aug 10 13:56:52 2015	1439215012	0	66	66	66
Mon Aug 10 13:56:52 2015	1439215012	0	66	66	66
Mon Aug 10 13:56:52 2015	1439215012	0	66	66	66
Mon Aug 10 13:56:52 2015	1439215012	0	66	66	66
Mon Aug 10 13:56:52 2015	1439215012	0	66	66	66
Mon Aug 10 13:56:53 2015	1439215013	0	67	67	67
Mon Aug 10 13:56:52 2015	1439215012	0	67	67	67
Mon Aug 10 13:56:51 2015	1439215011	0	68	68	68
Mon Aug 10 13:56:51 2015	1439215011	0	69	69	69
Mon Aug 10 13:56:51 2015	1439215011	0	69	69	69
Mon Aug 10 13:56:53 2015	1439215013	0	70	70	70
Mon Aug 10 13:56:51 2015	1439215011	0	70	70	70
Mon Aug 10 13:56:51 2015	1439215011	0	70	70	70
Mon Aug 10 13:56:51 2015	1439215011	0	70	70	70
Mon Aug 10 13:56:51 2015	1439215011	0	70	70	70
Mon Aug 10 13:56:54 2015	1439215014	0	70	70	70
Mon Aug 10 13:56:51 2015	1439215011	0	70	70	70
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:54 2015	1439215014	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:54 2015	1439215014	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:54 2015	1439215014	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:54 2015	1439215014	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	71	71	71
Mon Aug 10 13:56:51 2015	1439215011	0	72	72	72
Mon Aug 10 13:56:51 2015	1439215011	0	72	72	71
Mon Aug 10 13:56:54 2015	1439215014	0	72	72	72
Mon Aug 10 13:56:51 2015	1439215011	0	72	72	72
Mon Aug 10 13:56:54 2015	1439215014	0	72	72	72
Mon Aug 10 13:56:51 2015	1439215011	0	72	72	72
Mon Aug 10 13:56:54 2015	1439215014	0	72	72	72
Mon Aug 10 13:56:51 2015	1439215011	0	72	72	72
Mon Aug 10 13:56:54 2015	1439215014	0	72	72	72
Mon Aug 10 13:56:51 2015	1439215011	0	72	72	72
Mon Aug 10 13:56:51 2015	1439215011	0	72	72	72
Mon Aug 10 13:56:51 2015	1439215011	0	72	72	72
Mon Aug 10 13:56:51 2015	1439215011	0	72	72	72
Mon Aug 10 13:56:54 2015	1439215014	0	73	73	72
